year_month,year,month,total_orders,monthly_sales,monthly_profit,profit_margin_pct
2011-01,2011,1,216,98898.49,8321.8,8.41
2011-02,2011,2,183,91152.16,12417.91,13.62
2011-03,2011,3,277,145729.37,15303.57,10.5
2011-04,2011,4,267,116915.76,12902.32,11.04
2011-05,2011,5,295,146747.84,12183.83,8.3
2011-06,2011,6,468,215207.38,23415.25,10.88
2011-07,2011,7,250,115510.42,5585.0,4.84
2011-08,2011,8,443,207581.49,23713.67,11.42
2011-09,2011,9,527,290214.46,35776.88,12.33
2011-10,2011,10,401,199071.26,25963.42,13.04
2011-11,2011,11,563,298496.54,32709.18,10.96
2011-12,2011,12,620,333925.73,40647.98,12.17
2012-01,2012,1,260,135780.72,10401.64,7.66
2012-02,2012,2,230,100510.22,15000.1,14.92
2012-03,2012,3,337,163076.77,17992.92,11.03
2012-04,2012,4,322,161052.27,17366.97,10.78
2012-05,2012,5,413,208364.89,29876.7,14.34
2012-06,2012,6,571,256175.7,34407.15,13.43
2012-07,2012,7,324,145236.79,15585.39,10.73
2012-08,2012,8,522,303142.94,43573.88,14.37
2012-09,2012,9,641,289389.17,27776.18,9.6
2012-10,2012,10,499,252939.85,30662.88,12.12
2012-11,2012,11,716,323512.42,31820.72,9.84
2012-12,2012,12,628,338256.97,32950.75,9.74
2013-01,2013,1,345,199185.91,26810.56,13.46
2013-02,2013,2,306,167239.65,23762.5,14.21
2013-03,2013,3,411,198594.03,23433.77,11.8
2013-04,2013,4,394,177821.32,19462.04,10.94
2013-05,2013,5,522,260498.56,28495.69,10.94
2013-06,2013,6,724,396519.61,45478.41,11.47
2013-07,2013,7,447,229928.95,28863.83,12.55
2013-08,2013,8,692,326488.79,31023.67,9.5
2013-09,2013,9,836,376619.25,38905.67,10.33
2013-10,2013,10,580,293406.64,42433.22,14.46
2013-11,2013,11,789,373989.36,48063.0,12.85
2013-12,2013,12,825,405454.38,50202.87,12.38
2014-01,2014,1,450,241268.56,28001.39,11.61
2014-02,2014,2,385,184837.36,19751.7,10.69
2014-03,2014,3,530,263100.77,37357.26,14.2
2014-04,2014,4,523,242771.86,23782.3,9.8
2014-05,2014,5,667,288401.05,33953.56,11.77
2014-06,2014,6,899,401814.06,43778.6,10.9
2014-07,2014,7,540,258705.68,28035.87,10.84
2014-08,2014,8,843,456619.94,53542.89,11.73
2014-09,2014,9,1017,481157.24,67979.45,14.13
2014-10,2014,10,810,422766.63,58209.83,13.77
2014-11,2014,11,1077,555279.03,62856.59,11.32
2014-12,2014,12,1093,503143.69,46916.52,9.32
