year,quarter,order_count,quarterly_sales,quarterly_profit,profit_margin_pct
2011,Q1,673,335780.01,36043.28,10.73
2011,Q2,1027,478870.98,48501.4,10.13
2011,Q3,1217,613306.37,65075.56,10.61
2011,Q4,1581,831493.54,99320.58,11.94
2012,Q1,826,399367.71,43394.65,10.87
2012,Q2,1297,625592.86,81650.82,13.05
2012,Q3,1480,737768.89,86935.45,11.78
2012,Q4,1837,914709.23,95434.36,10.43
2013,Q1,1059,565019.59,74006.83,13.1
2013,Q2,1635,834839.49,93436.15,11.19
2013,Q3,1962,933036.99,98793.16,10.59
2013,Q4,2184,1072850.38,140699.09,13.11
2014,Q1,1355,689206.68,85110.35,12.35
2014,Q2,2077,932986.97,101514.46,10.88
2014,Q3,2379,1196482.87,149558.22,12.5
2014,Q4,2959,1481189.35,167982.94,11.34
