month_number,month,total_orders,cumulative_sales,cumulative_profit,profit_margin_pct
4,April,1506,698561.21,73513.63,10.52
8,August,2500,1293833.17,151854.11,11.74
12,December,3166,1580780.77,170718.13,10.8
2,February,1104,543739.38,70932.2,13.05
1,January,1271,675133.67,73535.38,10.89
7,July,1561,749381.84,78070.09,10.42
6,June,2662,1269716.75,147079.42,11.58
3,March,1555,770500.94,94087.52,12.21
5,May,1897,904012.34,104509.78,11.56
11,November,3145,1551277.34,175449.48,11.31
10,October,2290,1168184.39,157269.36,13.46
9,September,3021,1437380.11,170438.18,11.86
