product_name,category,sub_category,total_quantity,total_sales,total_profit,profit_margin_pct,sales_rank
"Apple Smart Phone, Full Size",Technology,Phones,171,86935.78,5921.58,6.81,1
"Cisco Smart Phone, Full Size",Technology,Phones,139,76441.53,17238.52,22.55,2
"Motorola Smart Phone, Full Size",Technology,Phones,134,73156.3,17027.11,23.27,3
"Nokia Smart Phone, Full Size",Technology,Phones,147,71904.56,9938.2,13.82,4
Canon imageCLASS 2200 Advanced Copier,Technology,Copiers,20,61599.82,25199.93,40.91,5
"Hon Executive Leather Armchair, Adjustable",Furniture,Chairs,169,58193.48,5997.25,10.31,6
"Office Star Executive Leather Armchair, Adjustable",Furniture,Chairs,141,50661.68,4710.98,9.3,7
"Harbour Creations Executive Leather Armchair, Adjustable",Furniture,Chairs,142,50121.52,10427.33,20.8,8
"Samsung Smart Phone, Cordless",Technology,Phones,108,48653.46,-198.09,-0.41,9
"Nokia Smart Phone, with Caller ID",Technology,Phones,96,47877.79,9465.33,19.77,10
