product_name,category,sub_category,total_quantity,total_sales,total_profit,profit_margin_pct,profit_rank
Canon imageCLASS 2200 Advanced Copier,Technology,Copiers,20,61599.82,25199.93,40.91,1
"Cisco Smart Phone, Full Size",Technology,Phones,139,76441.53,17238.52,22.55,2
"Motorola Smart Phone, Full Size",Technology,Phones,134,73156.3,17027.11,23.27,3
"Hoover Stove, Red",Office Supplies,Appliances,62,31663.78,11807.97,37.29,4
"Sauder Classic Bookcase, Traditional",Furniture,Bookcases,113,39108.3,10672.07,27.29,5
"Harbour Creations Executive Leather Armchair, Adjustable",Furniture,Chairs,142,50121.52,10427.33,20.8,6
"Nokia Smart Phone, Full Size",Technology,Phones,147,71904.56,9938.2,13.82,7
"Cisco Smart Phone, with Caller ID",Technology,Phones,85,43127.5,9786.64,22.69,8
"Nokia Smart Phone, with Caller ID",Technology,Phones,96,47877.79,9465.33,19.77,9
"Belkin Router, USB",Technology,Accessories,110,23470.41,8955.02,38.15,10
