product_name,category,sub_category,total_quantity,total_sales,total_loss,avg_discount_pct,profit_margin_pct,loss_rank
Cubify CubeX 3D Printer Double Head Print,Technology,Machines,9,11099.96,-8879.97,53.33,-80.0,1
Lexmark MX611dhe Monochrome Laser Printer,Technology,Machines,18,16829.9,-4589.97,40.0,-27.27,2
"Motorola Smart Phone, Cordless",Technology,Phones,74,38931.04,-4447.04,11.83,-11.42,3
Cubify CubeX 3D Printer Triple Head Print,Technology,Machines,4,7999.98,-3839.99,50.0,-48.0,4
"Bevis Round Table, Adjustable Height",Furniture,Tables,22,5654.8,-3649.89,46.0,-64.55,5
"Bevis Computer Table, Fully Assembled",Furniture,Tables,43,11177.9,-3509.56,35.31,-31.4,6
"Rogers Lockers, Blue",Office Supplies,Storage,167,28214.59,-2893.49,14.36,-10.26,7
Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,Furniture,Tables,27,9917.64,-2876.12,28.0,-29.0,8
"Bevis Wood Table, with Bottom Storage",Furniture,Tables,34,11134.66,-2782.59,32.0,-24.99,9
"Lesro Training Table, Rectangular",Furniture,Tables,25,2711.65,-2581.28,58.2,-95.19,10
