product_name,category,sub_category,total_sales,total_loss,avg_discount_pct,profit_margin_pct,transaction_count
Cubify CubeX 3D Printer Double Head Print,Technology,Machines,11099.96,-8879.97,53.33,-80.0,3
Lexmark MX611dhe Monochrome Laser Printer,Technology,Machines,16829.9,-4589.97,40.0,-27.27,4
"Motorola Smart Phone, Cordless",Technology,Phones,38931.04,-4447.04,11.83,-11.42,23
Cubify CubeX 3D Printer Triple Head Print,Technology,Machines,7999.98,-3839.99,50.0,-48.0,1
"Bevis Round Table, Adjustable Height",Furniture,Tables,5654.8,-3649.89,46.0,-64.55,5
"Bevis Computer Table, Fully Assembled",Furniture,Tables,11177.9,-3509.56,35.31,-31.4,13
"Rogers Lockers, Blue",Office Supplies,Storage,28214.59,-2893.49,14.36,-10.26,42
Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,Furniture,Tables,9917.64,-2876.12,28.0,-29.0,5
"Bevis Wood Table, with Bottom Storage",Furniture,Tables,11134.66,-2782.59,32.0,-24.99,10
"Barricks Conference Table, Rectangular",Furniture,Tables,3663.83,-2487.97,35.0,-67.91,3
"Bevis Conference Table, Fully Assembled",Furniture,Tables,14886.95,-2443.09,30.25,-16.41,8
"Lesro Round Table, Adjustable Height",Furniture,Tables,3960.62,-2402.98,43.4,-60.67,5
"Lesro Computer Table, Fully Assembled",Furniture,Tables,7223.26,-2322.84,40.0,-32.16,7
"Eldon Lockers, Blue",Office Supplies,Storage,19255.32,-2181.1,19.92,-11.33,36
"Hoover Stove, White",Office Supplies,Appliances,32842.6,-2180.63,13.44,-6.64,18
"Samsung Audio Dock, with Caller ID",Technology,Phones,7661.95,-2137.22,12.35,-27.89,20
"Hoover Stove, Silver",Office Supplies,Appliances,10316.16,-2093.09,22.13,-20.29,8
"Safco Library with Doors, Traditional",Furniture,Bookcases,11997.74,-1972.9,26.13,-16.44,15
"Bush Library with Doors, Pine",Furniture,Bookcases,9028.39,-1949.63,23.36,-21.59,11
Bush Advantage Collection Racetrack Conference Table,Furniture,Tables,9544.73,-1934.4,35.0,-20.27,7
"Barricks Conference Table, Adjustable Height",Furniture,Tables,6425.51,-1924.85,31.0,-29.96,5
"Hon Conference Table, Rectangular",Furniture,Tables,7588.29,-1920.85,39.5,-25.31,6
"Barricks Round Table, Adjustable Height",Furniture,Tables,3232.08,-1880.67,41.67,-58.19,3
GBC DocuBind P400 Electric Binding System,Office Supplies,Binders,17965.07,-1878.17,45.0,-10.45,6
"Chromcraft Conference Table, with Bottom Storage",Furniture,Tables,13700.92,-1850.33,25.56,-13.51,9
"Barricks Conference Table, with Bottom Storage",Furniture,Tables,6500.74,-1838.37,28.0,-28.28,5
"SAFCO Executive Leather Armchair, Red",Furniture,Chairs,25640.13,-1833.17,16.19,-7.15,21
"Chromcraft Round Table, Fully Assembled",Furniture,Tables,3576.75,-1823.08,43.33,-50.97,3
