region,total_orders,units_sold,total_sales,total_profit,profit_margin_pct,profit_rank
Central,5249,41762,2822302.52,311403.98,11.03,1
North,2356,18021,1248165.6,194597.95,15.59,2
North Asia,1150,8851,848309.78,165578.42,19.52,3
South,3270,25206,1600907.04,140355.77,8.77,4
Central Asia,1026,7715,752826.57,132480.19,17.6,5
Oceania,1744,12838,1100184.61,120089.11,10.92,6
West,1611,12266,725457.82,108418.45,14.94,7
East,1401,10618,678781.24,91522.78,13.48,8
Africa,2232,10564,783773.21,88871.63,11.34,9
EMEA,2462,11517,806161.31,43897.97,5.45,10
Caribbean,855,6299,324280.86,34571.32,10.66,11
Southeast Asia,1517,11822,884423.17,17852.33,2.02,12
Canada,201,833,66928.17,17817.39,26.62,13
