year_month,monthly_sales,running_total_sales,monthly_profit,running_total_profit
2011-01,98898.49,98898.49,8321.8,8321.8
2011-02,91152.16,190050.65,12417.91,20739.71
2011-03,145729.37,335780.01,15303.57,36043.28
2011-04,116915.76,452695.78,12902.32,48945.6
2011-05,146747.84,599443.61,12183.83,61129.43
2011-06,215207.38,814650.99,23415.25,84544.68
2011-07,115510.42,930161.41,5585.0,90129.68
2011-08,207581.49,1137742.9,23713.67,113843.35
2011-09,290214.46,1427957.36,35776.88,149620.23
2011-10,199071.26,1627028.62,25963.42,175583.65
2011-11,298496.54,1925525.16,32709.18,208292.83
2011-12,333925.73,2259450.9,40647.98,248940.81
2012-01,135780.72,2395231.62,10401.64,259342.45
2012-02,100510.22,2495741.83,15000.1,274342.55
2012-03,163076.77,2658818.6,17992.92,292335.46
2012-04,161052.27,2819870.87,17366.97,309702.43
2012-05,208364.89,3028235.76,29876.7,339579.13
2012-06,256175.7,3284411.46,34407.15,373986.29
2012-07,145236.79,3429648.25,15585.39,389571.68
2012-08,303142.94,3732791.19,43573.88,433145.55
2012-09,289389.17,4022180.36,27776.18,460921.73
2012-10,252939.85,4275120.21,30662.88,491584.62
2012-11,323512.42,4598632.62,31820.72,523405.34
2012-12,338256.97,4936889.59,32950.75,556356.09
2013-01,199185.91,5136075.5,26810.56,583166.65
2013-02,167239.65,5303315.15,23762.5,606929.15
2013-03,198594.03,5501909.18,23433.77,630362.92
2013-04,177821.32,5679730.49,19462.04,649824.96
2013-05,260498.56,5940229.06,28495.69,678320.65
2013-06,396519.61,6336748.67,45478.41,723799.07
2013-07,229928.95,6566677.62,28863.83,752662.89
2013-08,326488.79,6893166.41,31023.67,783686.56
2013-09,376619.25,7269785.66,38905.67,822592.23
2013-10,293406.64,7563192.3,42433.22,865025.45
2013-11,373989.36,7937181.66,48063.0,913088.45
2013-12,405454.38,8342636.04,50202.87,963291.32
2014-01,241268.56,8583904.59,28001.39,991292.71
2014-02,184837.36,8768741.95,19751.7,1011044.41
2014-03,263100.77,9031842.72,37357.26,1048401.67
2014-04,242771.86,9274614.58,23782.3,1072183.97
2014-05,288401.05,9563015.63,33953.56,1106137.53
2014-06,401814.06,9964829.69,43778.6,1149916.13
2014-07,258705.68,10223535.37,28035.87,1177952.0
2014-08,456619.94,10680155.32,53542.89,1231494.9
2014-09,481157.24,11161312.56,67979.45,1299474.35
2014-10,422766.63,11584079.19,58209.83,1357684.18
2014-11,555279.03,12139358.22,62856.59,1420540.77
2014-12,503143.69,12642501.91,46916.52,1467457.29
