category,sub_category,subcat_sales,category_total_sales,subcat_share_pct
Furniture,Chairs,1501681.76,4110874.19,36.53
Furniture,Bookcases,1466572.24,4110874.19,35.68
Furniture,Tables,757041.92,4110874.19,18.42
Furniture,Furnishings,385578.26,4110874.19,9.38
Office Supplies,Storage,1127085.86,3787070.23,29.76
Office Supplies,Appliances,1011064.31,3787070.23,26.7
Office Supplies,Binders,461911.51,3787070.23,12.2
Office Supplies,Art,372091.97,3787070.23,9.83
Office Supplies,Paper,244291.72,3787070.23,6.45
Office Supplies,Supplies,243074.22,3787070.23,6.42
Office Supplies,Envelopes,170904.3,3787070.23,4.51
Office Supplies,Fasteners,83242.32,3787070.23,2.2
Office Supplies,Labels,73404.03,3787070.23,1.94
Technology,Phones,1706824.14,4744557.5,35.97
Technology,Copiers,1509436.27,4744557.5,31.81
Technology,Machines,779060.07,4744557.5,16.42
Technology,Accessories,749237.02,4744557.5,15.79
