year_month,monthly_sales,rolling_3m_avg_sales
2011-01,98898.49,98898.49
2011-02,91152.16,95025.33
2011-03,145729.37,111926.67
2011-04,116915.76,117932.43
2011-05,146747.84,136464.32
2011-06,215207.38,159623.66
2011-07,115510.42,159155.21
2011-08,207581.49,179433.1
2011-09,290214.46,204435.46
2011-10,199071.26,232289.07
2011-11,298496.54,262594.09
2011-12,333925.73,277164.51
2012-01,135780.72,256067.66
2012-02,100510.22,190072.22
2012-03,163076.77,133122.57
2012-04,161052.27,141546.42
2012-05,208364.89,177497.98
2012-06,256175.7,208530.95
2012-07,145236.79,203259.13
2012-08,303142.94,234851.81
2012-09,289389.17,245922.97
2012-10,252939.85,281823.99
2012-11,323512.42,288613.81
2012-12,338256.97,304903.08
2013-01,199185.91,286985.1
2013-02,167239.65,234894.18
2013-03,198594.03,188339.86
2013-04,177821.32,181218.33
2013-05,260498.56,212304.64
2013-06,396519.61,278279.83
2013-07,229928.95,295649.04
2013-08,326488.79,317645.78
2013-09,376619.25,311012.33
2013-10,293406.64,332171.56
2013-11,373989.36,348005.08
2013-12,405454.38,357616.79
2014-01,241268.56,340237.43
2014-02,184837.36,277186.77
2014-03,263100.77,229735.56
2014-04,242771.86,230236.66
2014-05,288401.05,264757.89
2014-06,401814.06,310995.66
2014-07,258705.68,316306.93
2014-08,456619.94,372379.89
2014-09,481157.24,398827.62
2014-10,422766.63,453514.6
2014-11,555279.03,486400.97
2014-12,503143.69,493729.78
