state,region,total_orders,total_sales,net_profit_loss,profit_margin_pct,avg_discount_pct
Istanbul,EMEA,202,31037.46,-29033.7,-93.54,60.0
Lagos,Africa,150,17185.33,-25922.51,-150.84,70.0
Texas,Central,487,170188.05,-25729.36,-15.12,37.02
Ohio,East,236,78258.14,-16971.38,-21.69,32.49
Izmir,EMEA,59,15161.92,-15729.8,-103.75,60.0
Pennsylvania,East,288,116511.91,-15559.96,-13.35,32.86
Francisco Morazán,Central,178,48048.9,-15007.42,-31.23,40.67
Panama,Central,172,41490.18,-14978.5,-36.1,40.75
Punjab,Central Asia,109,60069.99,-14665.05,-24.41,36.28
Stockholm,North,74,21589.75,-13806.44,-63.95,50.78
Ankara,EMEA,76,13182.96,-12788.55,-97.01,60.0
National Capital,Southeast Asia,272,149247.22,-12647.48,-8.47,34.57
Illinois,Central,276,80166.1,-12607.89,-15.73,39.0
Auckland,Oceania,119,43721.57,-10929.64,-25.0,40.0
Kano,Africa,51,7951.87,-10916.21,-137.28,70.0
North Brabant,Central,32,15250.22,-10552.21,-69.19,46.62
Cortés,Central,112,26200.35,-8830.17,-33.7,40.56
Kaduna,Africa,28,5810.56,-8613.44,-148.24,70.0
Buenos Aires,South,85,28576.47,-8567.89,-29.98,43.28
Bahia,South,67,17598.16,-8085.64,-45.95,38.51
North Holland,Central,44,15219.43,-7607.36,-49.98,47.61
North Carolina,South,136,55603.16,-7490.91,-13.47,28.35
Bangkok,Southeast Asia,132,76049.8,-7124.9,-9.37,36.13
South Holland,Central,50,14181.33,-6746.43,-47.57,49.09
Colorado,West,79,32108.12,-6527.86,-20.33,31.65
Midi-Pyrénées,Central,63,34144.02,-6465.72,-18.94,31.21
Lisboa,South,21,10659.66,-6334.68,-59.43,50.0
Australian Capital Territory,Oceania,80,33162.81,-5755.95,-17.36,34.81
Utrecht,Central,21,10222.11,-5704.11,-55.8,48.16
Rivers,Africa,15,3824.47,-5443.04,-142.32,70.0
Seoul,North Asia,39,14298.83,-5368.96,-37.55,44.88
Tennessee,South,91,30661.87,-5341.69,-17.42,29.13
Oyo,Africa,33,2847.31,-4829.72,-169.62,70.0
Dublin,North,36,11072.89,-4672.7,-42.2,50.39
Vilnius,EMEA,10,3276.15,-4600.08,-140.41,70.0
Adana,EMEA,26,5463.72,-3941.7,-72.14,60.0
Gaziantep,EMEA,16,3514.16,-3900.28,-110.99,60.0
Ouest,Caribbean,36,9612.12,-3801.0,-39.54,44.24
Santo Domingo,Caribbean,238,78713.66,-3569.6,-4.53,24.14
Edo,Africa,14,2019.11,-3530.29,-174.84,70.0
Rio Grande do Norte,South,14,6966.86,-3470.32,-49.81,31.13
Arizona,West,108,35282.0,-3427.92,-9.72,30.36
Florida,South,200,89473.71,-3399.3,-3.8,29.93
Lima (city),South,40,11006.51,-3295.65,-29.94,40.3
Champagne-Ardenne,Central,19,6049.63,-3090.56,-51.09,40.75
Atlántida,Central,26,8491.61,-3023.03,-35.6,41.0
Ta'izz,EMEA,7,2032.17,-2938.23,-144.59,70.0
Distrito Capital,South,14,5650.02,-2930.86,-51.87,42.45
Bursa,EMEA,36,3384.2,-2865.34,-84.67,60.0
Hovedstaden,North,18,5221.59,-2843.76,-54.46,50.29
Groningen,Central,7,6405.87,-2796.18,-43.65,48.5
Daejeon,North Asia,8,3257.94,-2748.66,-84.37,51.58
Bulawayo,Africa,16,2080.23,-2706.63,-130.11,70.0
Mersin,EMEA,21,2692.99,-2585.0,-95.99,60.0
Chiriquí,Central,20,7074.96,-2543.78,-35.95,40.01
Harare,Africa,23,1565.19,-2529.0,-161.58,70.0
Cork,North,10,4993.71,-2458.02,-49.22,50.0
Calabarzon,Southeast Asia,25,16390.22,-2406.97,-14.69,35.51
Minas Gerais,South,66,32651.18,-2369.12,-7.26,21.05
Enugu,Africa,11,1907.34,-2320.65,-121.67,70.0
Gelderland,Central,14,4768.85,-2312.32,-48.49,50.0
Ceará,South,31,10106.85,-2286.95,-22.63,26.69
Lower Saxony,Central,71,56148.23,-2226.52,-3.97,18.5
Delta,Africa,13,1183.76,-2165.44,-182.93,70.0
Kaunas,EMEA,7,1757.64,-2154.75,-122.59,70.0
Overijssel,Central,14,4295.62,-2117.03,-49.28,50.53
Yangon,Southeast Asia,58,34138.87,-2109.26,-6.18,23.62
Kwara,Africa,11,1239.33,-2056.29,-165.92,70.0
Carabobo,South,9,3750.34,-2045.68,-54.55,42.03
Choluteca,Central,17,5511.1,-2036.04,-36.94,41.54
Antalya,EMEA,18,2226.42,-2022.81,-90.85,60.0
